scale,epoch,target_hp,source_config,source_hp,nll,rank
[8],5,"lr3e-05,wd0.0",1,"lr=1e-05, wd=0.0",492063280.6326,2
[8],5,"lr3e-05,wd0.0",3,"lr=3e-05, wd=0.0",1084300671.1395,3
[8],5,"lr3e-05,wd0.0",4,"lr=3e-05, wd=0.01",1104176900.0086,4
[8],5,"lr3e-05,wd0.0",10,"lr=0.001, wd=0.01",1327304925.7957,5
[8],5,"lr3e-05,wd0.0",12,"lr=0.003, wd=0.01",1449850946.5225,6
[8],5,"lr3e-05,wd0.0",5,"lr=1e-04, wd=0.0",2639914571.5175,7
[8],5,"lr3e-05,wd0.0",6,"lr=1e-04, wd=0.01",3253856573.0918,8
[8],5,"lr3e-05,wd0.0",11,"lr=0.003, wd=0.0",4273100876.004,9
[8],5,"lr3e-05,wd0.0",8,"lr=3e-04, wd=0.01",4902096800.7071,10
[8],5,"lr3e-05,wd0.0",7,"lr=3e-04, wd=0.0",5368631698.2233,11
[8],5,"lr3e-05,wd0.0",9,"lr=0.001, wd=0.0",7664102560.9764,12
[8],5,"lr3e-05,wd0.01",10,"lr=0.001, wd=0.01",253360199.7416,1
[8],5,"lr3e-05,wd0.01",2,"lr=1e-05, wd=0.01",325639383.8966,2
[8],5,"lr3e-05,wd0.01",1,"lr=1e-05, wd=0.0",356341283.7479,3
[8],5,"lr3e-05,wd0.01",12,"lr=0.003, wd=0.01",373457613.1397,4
[8],5,"lr3e-05,wd0.01",3,"lr=3e-05, wd=0.0",505891198.9835,5
[8],5,"lr3e-05,wd0.01",4,"lr=3e-05, wd=0.01",523003282.3143,6
[8],5,"lr3e-05,wd0.01",5,"lr=1e-04, wd=0.0",1502262280.9247,7
[8],5,"lr3e-05,wd0.01",6,"lr=1e-04, wd=0.01",1900483825.4963,8
[8],5,"lr3e-05,wd0.01",11,"lr=0.003, wd=0.0",2304976300.8862,9
[8],5,"lr3e-05,wd0.01",8,"lr=3e-04, wd=0.01",2897067498.497,10
[8],5,"lr3e-05,wd0.01",7,"lr=3e-04, wd=0.0",3224329104.215,11
[8],5,"lr3e-05,wd0.01",9,"lr=0.001, wd=0.0",4793335440.1793,12
[8],5,"lr0.0001,wd0.0",8,"lr=3e-04, wd=0.01",2745786.8258,1
[8],5,"lr0.0001,wd0.0",7,"lr=3e-04, wd=0.0",11634402.3304,2
[8],5,"lr0.0001,wd0.0",10,"lr=0.001, wd=0.01",71874790.5372,3
[8],5,"lr0.0001,wd0.0",12,"lr=0.003, wd=0.01",107167308.6515,4
[8],5,"lr0.0001,wd0.0",11,"lr=0.003, wd=0.0",185590607.339,5
[8],5,"lr0.0001,wd0.0",6,"lr=1e-04, wd=0.01",297234223.562,6
[8],5,"lr0.0001,wd0.0",9,"lr=0.001, wd=0.0",299871802.5037,7
[8],5,"lr0.0001,wd0.0",5,"lr=1e-04, wd=0.0",455162945.6746,8
[8],5,"lr0.0001,wd0.0",3,"lr=3e-05, wd=0.0",1370306246.2458,9
[8],5,"lr0.0001,wd0.0",4,"lr=3e-05, wd=0.01",1432871765.1668,10
[8],5,"lr0.0001,wd0.0",2,"lr=1e-05, wd=0.01",2291554279.1802,11
[8],5,"lr0.0001,wd0.0",1,"lr=1e-05, wd=0.0",2346515147.2974,12
[8],5,"lr0.0001,wd0.01",1,"lr=1e-05, wd=0.0",4660662.2997,1
[8],5,"lr0.0001,wd0.01",2,"lr=1e-05, wd=0.01",5845345.9655,2
[8],5,"lr0.0001,wd0.01",4,"lr=3e-05, wd=0.01",9279005.9133,3
[8],5,"lr0.0001,wd0.01",3,"lr=3e-05, wd=0.0",10396006.8843,4
[8],5,"lr0.0001,wd0.01",5,"lr=1e-04, wd=0.0",237708719.0951,5
[8],5,"lr0.0001,wd0.01",6,"lr=1e-04, wd=0.01",373126252.4616,6
[8],5,"lr0.0001,wd0.01",10,"lr=0.001, wd=0.01",914179923.6317,7
[8],5,"lr0.0001,wd0.01",12,"lr=0.003, wd=0.01",1062728776.6802,8
[8],5,"lr0.0001,wd0.01",8,"lr=3e-04, wd=0.01",1208320752.9067,9
[8],5,"lr0.0001,wd0.01",7,"lr=3e-04, wd=0.0",1651082352.0656,10
[8],5,"lr0.0001,wd0.01",11,"lr=0.003, wd=0.0",2963620856.3887,11
[8],5,"lr0.0001,wd0.01",9,"lr=0.001, wd=0.0",3216975086.8215,12
[8],5,"lr0.0003,wd0.0",11,"lr=0.003, wd=0.0",4532257526.3323,1
[8],5,"lr0.0003,wd0.0",9,"lr=0.001, wd=0.0",4621500153.2239,2
[8],5,"lr0.0003,wd0.0",7,"lr=3e-04, wd=0.0",6302222636.2699,3
[8],5,"lr0.0003,wd0.0",8,"lr=3e-04, wd=0.01",7208734961.4571,4
[8],5,"lr0.0003,wd0.0",10,"lr=0.001, wd=0.01",7869533700.866,5
[8],5,"lr0.0003,wd0.0",12,"lr=0.003, wd=0.01",8851716255.6407,6
[8],5,"lr0.0003,wd0.0",6,"lr=1e-04, wd=0.01",9744376179.6617,7
[8],5,"lr0.0003,wd0.0",5,"lr=1e-04, wd=0.0",10395394906.1358,8
[8],5,"lr0.0003,wd0.0",3,"lr=3e-05, wd=0.0",13012383548.2624,9
[8],5,"lr0.0003,wd0.0",4,"lr=3e-05, wd=0.01",13232934906.6416,10
[8],5,"lr0.0003,wd0.0",2,"lr=1e-05, wd=0.01",15038178085.5508,11
[8],5,"lr0.0003,wd0.0",1,"lr=1e-05, wd=0.0",15191565390.8994,12
[8],5,"lr0.0003,wd0.01",4,"lr=3e-05, wd=0.01",6529146.248,1
[8],5,"lr0.0003,wd0.01",3,"lr=3e-05, wd=0.0",11241333.7384,2
[8],5,"lr0.0003,wd0.01",5,"lr=1e-04, wd=0.0",18474687.541,3
[8],5,"lr0.0003,wd0.01",2,"lr=1e-05, wd=0.01",58737930.8147,4
[8],5,"lr0.0003,wd0.01",1,"lr=1e-05, wd=0.0",71651306.4506,5
[8],5,"lr0.0003,wd0.01",6,"lr=1e-04, wd=0.01",85373712.9595,6
[8],5,"lr0.0003,wd0.01",12,"lr=0.003, wd=0.01",203028941.6399,7
[8],5,"lr0.0003,wd0.01",10,"lr=0.001, wd=0.01",226860173.9261,8
[8],5,"lr0.0003,wd0.01",8,"lr=3e-04, wd=0.01",434333600.2091,9
[8],5,"lr0.0003,wd0.01",7,"lr=3e-04, wd=0.0",582010410.6442,10
[8],5,"lr0.0003,wd0.01",9,"lr=0.001, wd=0.0",1337139153.8019,11
[8],5,"lr0.0003,wd0.01",11,"lr=0.003, wd=0.0",1444059545.984,12
[8],5,"lr0.001,wd0.0",11,"lr=0.003, wd=0.0",9819596978.0085,1
[8],5,"lr0.001,wd0.0",9,"lr=0.001, wd=0.0",9869159273.5439,2
[8],5,"lr0.001,wd0.0",7,"lr=3e-04, wd=0.0",12416631861.5886,3
[8],5,"lr0.001,wd0.0",8,"lr=3e-04, wd=0.01",13129644984.6392,4
[8],5,"lr0.001,wd0.0",10,"lr=0.001, wd=0.01",14259317383.9078,5
[8],5,"lr0.001,wd0.0",12,"lr=0.003, wd=0.01",15414341653.5305,6
[8],5,"lr0.001,wd0.0",6,"lr=1e-04, wd=0.01",16846025957.1948,7
[8],5,"lr0.001,wd0.0",5,"lr=1e-04, wd=0.0",18137863878.1957,8
[8],5,"lr0.001,wd0.0",4,"lr=3e-05, wd=0.01",21028909026.1408,9
[8],5,"lr0.001,wd0.0",3,"lr=3e-05, wd=0.0",21173008685.431,10
[8],5,"lr0.001,wd0.0",2,"lr=1e-05, wd=0.01",22512607686.4134,11
[8],5,"lr0.001,wd0.0",1,"lr=1e-05, wd=0.0",22810133595.7073,12
[8],5,"lr0.001,wd0.01",8,"lr=3e-04, wd=0.01",10260822.404,1
[8],5,"lr0.001,wd0.01",7,"lr=3e-04, wd=0.0",29556101.3162,2
[8],5,"lr0.001,wd0.01",9,"lr=0.001, wd=0.0",288247578.7966,3
[8],5,"lr0.001,wd0.01",11,"lr=0.003, wd=0.0",304599598.9462,4
[8],5,"lr0.001,wd0.01",12,"lr=0.003, wd=0.01",323344397.6897,5
[8],5,"lr0.001,wd0.01",10,"lr=0.001, wd=0.01",439447612.3021,6
[8],5,"lr0.001,wd0.01",6,"lr=1e-04, wd=0.01",510757610.3136,7
[8],5,"lr0.001,wd0.01",2,"lr=1e-05, wd=0.01",719050241.9287,8
[8],5,"lr0.001,wd0.01",1,"lr=1e-05, wd=0.0",854711979.7114,9
[8],5,"lr0.001,wd0.01",4,"lr=3e-05, wd=0.01",981276999.0247,10
[8],5,"lr0.001,wd0.01",5,"lr=1e-04, wd=0.0",1175028164.9948,11
[8],5,"lr0.001,wd0.01",3,"lr=3e-05, wd=0.0",1359618627.0964,12
[8],5,"lr0.003,wd0.0",11,"lr=0.003, wd=0.0",8346459405.8309,1
[8],5,"lr0.003,wd0.0",9,"lr=0.001, wd=0.0",8607964998.2854,2
[8],5,"lr0.003,wd0.0",7,"lr=3e-04, wd=0.0",11800911116.6356,3
[8],5,"lr0.003,wd0.0",8,"lr=3e-04, wd=0.01",12504515424.0857,4
[8],5,"lr0.003,wd0.0",10,"lr=0.001, wd=0.01",13980811453.4243,5
[8],5,"lr0.003,wd0.0",12,"lr=0.003, wd=0.01",14806993401.1536,6
