policy,obs_frac,t_target,query_target_N,n_configs,spearman_rho,kendall_tau,spearman_p,kendall_p
all_lower_only,0.1,0.7,134561280,27,0.9511599511599511,0.8290598290598292,2.8645564825242167e-14,6.25571460678075e-13
all_lower_only,0.1,0.7,287183360,35,0.9120448179271708,0.7546218487394958,2.5230940090817935e-14,1.8124817427729978e-10
all_lower_only,0.1,0.7,610488320,8,0.4761904761904762,0.2857142857142857,0.23293553465009798,0.39875992063492066
all_lower_only,0.1,0.8,77124608,24,0.7991304347826085,0.6014492753623188,2.8260661580014922e-06,1.2986666549894791e-05
all_lower_only,0.1,0.8,134561280,27,0.9456654456654456,0.8062678062678064,1.0539292626751158e-13,5.650092007351314e-12
all_lower_only,0.1,0.8,287183360,35,0.8997198879551822,0.7378151260504202,1.9990924607924016e-13,4.5342987505741183e-10
all_lower_only,0.1,0.8,610488320,8,0.4761904761904762,0.2857142857142857,0.23293553465009798,0.39875992063492066
all_lower_only,0.1,0.9,77124608,24,0.7730434782608695,0.5797101449275361,9.492623353144855e-06,2.9783823595775196e-05
all_lower_only,0.1,0.9,134561280,27,0.9346764346764347,0.7834757834757836,9.923064590195976e-13,4.137650647362464e-11
all_lower_only,0.1,0.9,287183360,35,0.8672268907563027,0.6873949579831933,1.597077830049153e-11,6.3078066415107675e-09
all_lower_only,0.1,0.9,610488320,8,0.4285714285714286,0.2857142857142857,0.2894032248467901,0.39875992063492066
all_lower_only,0.1,1.0,77124608,24,0.7556521739130433,0.5652173913043478,1.957281883302767e-05,5.039225984314531e-05
all_lower_only,0.1,1.0,134561280,27,0.9310134310134309,0.7834757834757836,1.9235557858865975e-12,4.137650647362464e-11
all_lower_only,0.1,1.0,287183360,35,0.8408963585434175,0.6638655462184874,2.5724838903541784e-10,2.0283503167073148e-08
all_lower_only,0.1,1.0,610488320,8,0.38095238095238104,0.21428571428571427,0.35181255311756476,0.5484126984126985
all_lower_only,0.2,0.3,77124608,24,0.9643478260869565,0.8768115942028986,3.4558658070988553e-14,2.0944279884835788e-13
all_lower_only,0.2,0.3,134561280,27,0.9810744810744811,0.8974358974358976,2.402477267886317e-19,1.428218025437205e-16
all_lower_only,0.2,0.3,287183360,35,0.9669467787114847,0.8453781512605042,3.6960486211763835e-21,9.110298622718748e-13
all_lower_only,0.2,0.3,610488320,8,0.9285714285714287,0.7857142857142856,0.0008629681828999769,0.005505952380952381
all_lower_only,0.2,0.4,77124608,24,0.9495652173913043,0.8478260869565217,1.4644153248304371e-12,4.1409614708213e-12
all_lower_only,0.2,0.4,134561280,27,0.9810744810744811,0.8974358974358976,2.402477267886317e-19,1.428218025437205e-16
all_lower_only,0.2,0.4,287183360,35,0.9652661064425769,0.838655462184874,8.274209564832072e-21,1.3753172039778349e-12
all_lower_only,0.2,0.4,610488320,8,0.523809523809524,0.3571428571428571,0.18272075053971484,0.27509920634920637
all_lower_only,0.2,0.5,77124608,24,0.9391304347826085,0.8115942028985507,1.1034610116370757e-11,9.883108561864623e-11
all_lower_only,0.2,0.5,134561280,27,0.9713064713064712,0.8689458689458691,4.140366890617862e-17,6.9812495245801095e-15
all_lower_only,0.2,0.5,287183360,35,0.9532212885154063,0.8151260504201681,1.0283841976123538e-18,5.670380006915891e-12
all_lower_only,0.2,0.5,610488320,8,0.38095238095238104,0.3571428571428571,0.35181255311756476,0.27509920634920637
all_lower_only,0.2,0.6,77124608,24,0.9434782608695651,0.8188405797101449,4.984286809250041e-12,5.4621594722448636e-11
all_lower_only,0.2,0.6,134561280,27,0.9700854700854701,0.8632478632478634,6.924794434688938e-17,1.4085091086256661e-14
