policy,obs_frac,t_target,query_target_N,n_configs,regret,normalized_regret,oracle_loss,selected_loss,top1_overlap,top1_hit_rate,top1_best_in_pred,top3_overlap,top3_hit_rate,top3_best_in_pred,top5_overlap,top5_hit_rate,top5_best_in_pred
all_lower_only,0.05,1.0,134561280,27,0.029440879821777344,0.12735022549582783,1.7854115962982178,1.8148524761199951,0,0.0,0,2,0.6666666666666666,0,4,0.8,0
all_lower_only,0.05,1.0,287183360,35,0.01758885383605957,0.11290288023017354,1.6100938320159912,1.6276826858520508,0,0.0,0,1,0.3333333333333333,0,2,0.4,0
all_lower_only,0.05,1.0,610488320,8,0.02389383316040039,0.20294603658042673,1.6192057132720947,1.6430995464324951,0,0.0,0,2,0.6666666666666666,0,5,1.0,1
all_lower_only,0.1,0.2,77124608,24,0.0005237339683201725,0.0019327558000469046,2.102961665899857,2.1034853998681773,0,0.0,0,2,0.6666666666666666,1,4,0.8,1
all_lower_only,0.1,0.2,134561280,27,0.0,0.0,1.9417323125963626,1.9417323125963626,1,1.0,1,3,1.0,1,4,0.8,1
all_lower_only,0.1,0.2,287183360,35,0.004731265627819781,0.01928062797488011,1.7937163145023842,1.798447580130204,0,0.0,0,2,0.6666666666666666,1,4,0.8,1
all_lower_only,0.1,0.2,610488320,8,0.0057924120944479185,0.024205741063871137,1.8824997740413831,1.888292186135831,0,0.0,0,2,0.6666666666666666,1,4,0.8,1
all_lower_only,0.1,0.3,77124608,24,0.0,0.0,2.061852360227834,2.061852360227834,1,1.0,1,2,0.6666666666666666,1,4,0.8,1
all_lower_only,0.1,0.3,134561280,27,0.0071724283695220326,0.022011093143567806,1.918067497688791,1.925239926058313,0,0.0,0,2,0.6666666666666666,1,5,1.0,1
all_lower_only,0.1,0.3,287183360,35,0.00933426380157476,0.041312479136964654,1.7527006153231082,1.762034879124683,0,0.0,0,2,0.6666666666666666,0,4,0.8,0
all_lower_only,0.1,0.3,610488320,8,0.0,0.0,1.8156102368313334,1.8156102368313334,1,1.0,1,2,0.6666666666666666,1,4,0.8,1
all_lower_only,0.1,0.4,77124608,24,0.0,0.0,2.036208664127018,2.036208664127018,1,1.0,1,2,0.6666666666666666,1,4,0.8,1
all_lower_only,0.1,0.4,134561280,27,0.004155031701792877,0.013935358954322359,1.9002963506657145,1.9044513823675073,0,0.0,0,2,0.6666666666666666,1,4,0.8,1
all_lower_only,0.1,0.4,287183360,35,0.010507490510525797,0.0489510089923157,1.7278004993148472,1.738307989825373,0,0.0,0,1,0.3333333333333333,0,3,0.6,0
all_lower_only,0.1,0.4,610488320,8,0.0,0.0,1.7756687966015028,1.7756687966015028,1,1.0,1,2,0.6666666666666666,1,3,0.6,1
all_lower_only,0.1,0.5,77124608,24,0.0,0.0,2.0169719080717665,2.0169719080717665,1,1.0,1,1,0.3333333333333333,1,4,0.8,1
all_lower_only,0.1,0.5,134561280,27,0.0,0.0,1.8854584382927937,1.8854584382927937,1,1.0,1,2,0.6666666666666666,1,4,0.8,1
all_lower_only,0.1,0.5,287183360,35,0.012044902407604807,0.05943789669896055,1.7078543041685352,1.71989920657614,0,0.0,0,1,0.3333333333333333,0,2,0.4,0
all_lower_only,0.1,0.5,610488320,8,0.0,0.0,1.7426619313281515,1.7426619313281515,1,1.0,1,2,0.6666666666666666,1,3,0.6,1
all_lower_only,0.1,0.6,77124608,24,0.0,0.0,2.0005139566504435,2.0005139566504435,1,1.0,1,1,0.3333333333333333,1,4,0.8,1
all_lower_only,0.1,0.6,134561280,27,0.0,0.0,1.8712962215361388,1.8712962215361388,1,1.0,1,2,0.6666666666666666,1,4,0.8,1
all_lower_only,0.1,0.6,287183360,35,0.012821251226508013,0.06496128843381986,1.6918271078234135,1.7046483590499215,0,0.0,0,1,0.3333333333333333,0,2,0.4,0
