variant_group,t_group,context,obs_folder,mean_relerr
t287_ohneemb,t287,134561280,0,11.34
t287_ohneemb,t287,134561280,20,12.18
t287_ohneemb,t287,134561280,50,11.30857142857143
t287_ohneemb,t287,134561280,90,8.962857142857143
t287_onlyemb,t287,32270848,0,235.87714285714287
t287_onlyemb,t287,32270848,20,8.168571428571427
t287_onlyemb,t287,32270848,50,4.582857142857143
t287_onlyemb,t287,32270848,90,0.6285714285714286
t287_onlyemb,t287,77124608,0,211.48857142857145
t287_onlyemb,t287,77124608,20,8.291428571428572
t287_onlyemb,t287,77124608,50,4.557142857142857
t287_onlyemb,t287,77124608,90,0.6628571428571428
t287_onlyemb,t287,134561280,0,184.06285714285713
t287_onlyemb,t287,134561280,20,8.274285714285716
t287_onlyemb,t287,134561280,50,4.497142857142857
t287_onlyemb,t287,134561280,90,0.5885714285714286
t287_withbase,t287,32270848,0,70.2
t287_withbase,t287,32270848,20,6.3914285714285715
t287_withbase,t287,32270848,50,4.151428571428572
t287_withbase,t287,32270848,90,0.8114285714285714
t287_withbase,t287,77124608,0,27.025714285714287
t287_withbase,t287,77124608,20,7.5
t287_withbase,t287,77124608,50,4.602857142857142
t287_withbase,t287,77124608,90,1.6485714285714286
t287_withbase,t287,134561280,0,13.005714285714285
t287_withbase,t287,134561280,20,6.965714285714286
t287_withbase,t287,134561280,50,4.271428571428571
t287_withbase,t287,134561280,90,1.36
t610,t610,32270848,0,101.55
t610,t610,32270848,20,10.15
t610,t610,32270848,50,6.3125
t610,t610,32270848,90,0.7875
t610,t610,77124608,0,90.9125
t610,t610,77124608,20,9.8625
t610,t610,77124608,50,6.1875
t610,t610,77124608,90,0.6875
t610,t610,134561280,0,81.85
t610,t610,134561280,20,8.6625
t610,t610,134561280,50,6.262499999999999
t610,t610,134561280,90,0.6125
t610,t610,287183360,0,11.875
t610,t610,287183360,20,5.525
t610,t610,287183360,50,4.925
t610,t610,287183360,90,0.6625
