scale,epoch,target_hp,source_config,source_hp,nll,rank
[8],5,"lr0.0001,wd0.0",4,"lr=3e-05, wd=0.01",-1.6822,10
[8],5,"lr0.0001,wd0.0",2,"lr=1e-05, wd=0.01",-1.6754,11
[8],5,"lr0.0001,wd0.0",1,"lr=1e-05, wd=0.0",-1.6694,12
[8],5,"lr0.0001,wd0.01",11,"lr=0.003, wd=0.0",-2.17,1
[8],5,"lr0.0001,wd0.01",9,"lr=0.001, wd=0.0",-2.1335,2
[8],5,"lr0.0001,wd0.01",12,"lr=0.003, wd=0.01",-2.1109,3
[8],5,"lr0.0001,wd0.01",7,"lr=3e-04, wd=0.0",-2.0995,4
[8],5,"lr0.0001,wd0.01",10,"lr=0.001, wd=0.01",-2.0902,5
[8],5,"lr0.0001,wd0.01",8,"lr=3e-04, wd=0.01",-1.9794,6
[8],5,"lr0.0001,wd0.01",5,"lr=1e-04, wd=0.0",-1.9029,7
[8],5,"lr0.0001,wd0.01",6,"lr=1e-04, wd=0.01",-1.8618,8
[8],5,"lr0.0001,wd0.01",3,"lr=3e-05, wd=0.0",-1.8039,9
[8],5,"lr0.0001,wd0.01",4,"lr=3e-05, wd=0.01",-1.7867,10
[8],5,"lr0.0001,wd0.01",1,"lr=1e-05, wd=0.0",-1.7766,11
[8],5,"lr0.0001,wd0.01",2,"lr=1e-05, wd=0.01",-1.7763,12
[8],5,"lr0.0003,wd0.0",11,"lr=0.003, wd=0.0",-2.0107,1
[8],5,"lr0.0003,wd0.0",9,"lr=0.001, wd=0.0",-1.9215,2
[8],5,"lr0.0003,wd0.0",12,"lr=0.003, wd=0.01",-1.884,3
[8],5,"lr0.0003,wd0.0",10,"lr=0.001, wd=0.01",-1.8477,4
[8],5,"lr0.0003,wd0.0",7,"lr=3e-04, wd=0.0",-1.802,5
[8],5,"lr0.0003,wd0.0",8,"lr=3e-04, wd=0.01",-1.6927,6
[8],5,"lr0.0003,wd0.0",5,"lr=1e-04, wd=0.0",-1.628,7
[8],5,"lr0.0003,wd0.0",6,"lr=1e-04, wd=0.01",-1.5927,8
[8],5,"lr0.0003,wd0.0",2,"lr=1e-05, wd=0.01",-1.5865,9
[8],5,"lr0.0003,wd0.0",1,"lr=1e-05, wd=0.0",-1.5792,10
[8],5,"lr0.0003,wd0.0",3,"lr=3e-05, wd=0.0",-1.57,11
[8],5,"lr0.0003,wd0.0",4,"lr=3e-05, wd=0.01",-1.5591,12
[8],5,"lr0.0003,wd0.01",11,"lr=0.003, wd=0.0",-2.2447,1
[8],5,"lr0.0003,wd0.01",12,"lr=0.003, wd=0.01",-2.1983,2
[8],5,"lr0.0003,wd0.01",9,"lr=0.001, wd=0.0",-2.148,3
[8],5,"lr0.0003,wd0.01",10,"lr=0.001, wd=0.01",-2.0681,4
[8],5,"lr0.0003,wd0.01",7,"lr=3e-04, wd=0.0",-2.0001,5
[8],5,"lr0.0003,wd0.01",8,"lr=3e-04, wd=0.01",-1.8662,6
[8],5,"lr0.0003,wd0.01",5,"lr=1e-04, wd=0.0",-1.7821,7
[8],5,"lr0.0003,wd0.01",2,"lr=1e-05, wd=0.01",-1.7678,8
[8],5,"lr0.0003,wd0.01",1,"lr=1e-05, wd=0.0",-1.7579,9
[8],5,"lr0.0003,wd0.01",6,"lr=1e-04, wd=0.01",-1.7447,10
[8],5,"lr0.0003,wd0.01",3,"lr=3e-05, wd=0.0",-1.7209,11
[8],5,"lr0.0003,wd0.01",4,"lr=3e-05, wd=0.01",-1.7123,12
[8],5,"lr0.001,wd0.0",11,"lr=0.003, wd=0.0",-1.9318,1
[8],5,"lr0.001,wd0.0",12,"lr=0.003, wd=0.01",-1.8262,2
[8],5,"lr0.001,wd0.0",9,"lr=0.001, wd=0.0",-1.7671,3
[8],5,"lr0.001,wd0.0",10,"lr=0.001, wd=0.01",-1.7415,4
[8],5,"lr0.001,wd0.0",7,"lr=3e-04, wd=0.0",-1.6397,5
[8],5,"lr0.001,wd0.0",8,"lr=3e-04, wd=0.01",-1.5548,6
[8],5,"lr0.001,wd0.0",2,"lr=1e-05, wd=0.01",-1.5229,7
[8],5,"lr0.001,wd0.0",1,"lr=1e-05, wd=0.0",-1.5112,8
[8],5,"lr0.001,wd0.0",5,"lr=1e-04, wd=0.0",-1.4775,9
[8],5,"lr0.001,wd0.0",4,"lr=3e-05, wd=0.01",-1.4549,10
[8],5,"lr0.001,wd0.0",3,"lr=3e-05, wd=0.0",-1.4545,11
[8],5,"lr0.001,wd0.0",6,"lr=1e-04, wd=0.01",-1.4528,12
[8],5,"lr0.001,wd0.01",11,"lr=0.003, wd=0.0",-1.7321,1
[8],5,"lr0.001,wd0.01",12,"lr=0.003, wd=0.01",-1.6125,2
[8],5,"lr0.001,wd0.01",9,"lr=0.001, wd=0.0",-1.5962,3
[8],5,"lr0.001,wd0.01",10,"lr=0.001, wd=0.01",-1.5402,4
[8],5,"lr0.001,wd0.01",7,"lr=3e-04, wd=0.0",-1.4698,5
[8],5,"lr0.001,wd0.01",8,"lr=3e-04, wd=0.01",-1.4052,6
[8],5,"lr0.001,wd0.01",5,"lr=1e-04, wd=0.0",-1.3361,7
[8],5,"lr0.001,wd0.01",4,"lr=3e-05, wd=0.01",-1.3348,8
[8],5,"lr0.001,wd0.01",3,"lr=3e-05, wd=0.0",-1.3264,9
[8],5,"lr0.001,wd0.01",6,"lr=1e-04, wd=0.01",-1.3211,10
[8],5,"lr0.001,wd0.01",2,"lr=1e-05, wd=0.01",-1.2922,11
[8],5,"lr0.001,wd0.01",1,"lr=1e-05, wd=0.0",-1.2906,12
[8],5,"lr0.003,wd0.0",11,"lr=0.003, wd=0.0",-1.7324,1
[8],5,"lr0.003,wd0.0",12,"lr=0.003, wd=0.01",-1.6358,2
[8],5,"lr0.003,wd0.0",9,"lr=0.001, wd=0.0",-1.5643,3
[8],5,"lr0.003,wd0.0",10,"lr=0.001, wd=0.01",-1.5477,4
[8],5,"lr0.003,wd0.0",7,"lr=3e-04, wd=0.0",-1.4641,5
[8],5,"lr0.003,wd0.0",8,"lr=3e-04, wd=0.01",-1.3847,6
[8],5,"lr0.003,wd0.0",5,"lr=1e-04, wd=0.0",-1.3258,7
[8],5,"lr0.003,wd0.0",6,"lr=1e-04, wd=0.01",-1.2976,8
[8],5,"lr0.003,wd0.0",3,"lr=3e-05, wd=0.0",-1.2788,9
[8],5,"lr0.003,wd0.0",4,"lr=3e-05, wd=0.01",-1.2695,10
[8],5,"lr0.003,wd0.0",2,"lr=1e-05, wd=0.01",-1.2387,11
